"Energy (MeV)" Frequency
0.0139 37
0.0263446 2.27
0.033196 0.126
0.042704 0.0055
0.04342 0.073
0.05101 2.60E-005
0.05556 0.0181
0.0595409 35.9
0.06483 1.45E-004
0.06745 4.20E-004
0.06976 0.0029
0.0758 5.90E-004
0.097069 0.00114
0.09897 0.0203
0.101059 0.00181
0.10298 0.0195
0.1097 4.90E-006
0.113303 2.27E-004
0.114234 4.30E-004
0.117463 1.68E-004
0.12036 4.50E-006
0.123052 1.00E-003
0.1253 0.00408
0.13944 5.30E-006
0.14655 4.61E-004
0.15004 7.40E-005
0.15427 5.40E-007
0.15926 1.40E-006
0.16154 1.50E-006
0.16469 6.67E-005
0.16581 2.32E-005
0.16956 1.73E-004
0.17507 1.82E-005
0.19196 2.16E-005
0.197 4.90E-007
0.20406 2.90E-006
0.20801 7.91E-004
0.22146 4.24E-005
0.23281 4.60E-006
0.23433 7.00E-007
0.24673 2.40E-006
0.249 5.40E-007
0.2608 1.21E-006
0.26489 9.00E-006
0.26758 2.63E-005
0.27577 6.60E-006
0.27804 4.40E-007
0.2913 3.10E-006
0.29277 1.42E-005
0.30421 1.01E-006
0.3091 1.40E-006
0.3168 3.00E-008
0.32252 1.52E-004
0.33235 1.49E-004
0.33537 4.96E-004
0.3377 4.29E-006
0.35825 1.20E-006
0.36865 2.17E-004
0.37094 5.23E-005
0.37665 1.38E-004
0.38381 2.82E-005
0.39864 2.00E-006
0.4013 4.90E-007
0.40635 1.45E-006
0.41933 2.87E-005
0.42647 2.46E-005
0.44643 4.90E-007
0.4526 2.40E-006
0.45466 9.70E-006
0.45968 3.60E-006
0.46322 1.00E-006
0.46812 2.88E-006
0.4873 4.40E-007
0.5125 1.15E-006
0.514 2.60E-006
0.52206 1.00E-006
0.52917 4.60E-007
0.5454 7.40E-007
0.56305 7.40E-007
0.57394 1.25E-006
0.58659 1.31E-006
0.59028 2.86E-006
0.59748 7.40E-006
0.61901 5.94E-005
0.62718 5.60E-007
0.63293 1.26E-006
0.64147 7.10E-006
0.65302 3.77E-005
0.6624 3.64E-004
0.6665 4.90E-007
0.66983 3.80E-007
0.67603 6.40E-007
0.6801 3.13E-006
0.68872 3.25E-005
0.6966 5.34E-006
0.72201 1.96E-004
0.72972 1.33E-006
0.73734 8.00E-006
0.7559 7.60E-006
0.767 5.00E-006
0.77057 4.74E-006
0.7724 2.66E-006
0.786 6.20E-007
0.80194 1.36E-006
0.80626 3.10E-007
0.8285 2.40E-007
0.8607 8.00E-008
0.8627 5.30E-007
0.8873 2.20E-007
0.9215 1.90E-007
