"Energy (MeV)" Frequency
0.109091 0
0.218182 13
0.327273 14
0.436364 13.5
0.545455 12
0.654545 10
0.763636 8.8
0.872727 8
0.981818 7.8
1.090909 7
1.2 6.5
1.309091 6.3
1.418182 6
1.527273 5.8
1.636364 5.2
1.745455 4.5
1.854545 4.3
1.963636 5.5
2.072727 6.3
2.181818 7
2.290909 7.5
2.4 7.6
2.509091 7.3
2.618182 7.1
2.727273 7.8
2.836364 10
2.945455 11
3.054545 14
3.163636 16
3.272727 18.5
3.381818 18
3.490909 16.5
3.6 15.5
3.709091 15
3.818182 14.3
3.927273 14
4.036364 13.8
4.145455 13.6
4.254545 13.3
4.363636 13.2
4.472727 13.2
4.581818 13.7
4.690909 14
4.8 14.5
4.909091 15
5.018182 15.5
5.127273 15.3
5.236364 14.8
5.345455 14
5.454545 13
5.563636 12.5
5.672727 12.3
5.781818 11.8
5.890909 11
6 10
6.109091 8.5
6.218182 7.8
6.327273 7.7
6.436364 8
6.545455 8.2
6.654545 7.9
6.763636 7.7
6.872727 6.6
6.981818 6.3
7.090909 6.1
7.2 6.2
7.309091 6.5
7.418182 7
7.527273 7.5
7.636364 8
7.745455 8.3
7.854545 8.35
7.963636 8.2
8.072727 7.8
8.181818 7.3
8.290909 6.8
8.4 5.8
8.509091 5
8.618182 4.2
8.727273 3.5
8.836364 2.8
8.945455 2.4
9.054545 1.8
9.163636 1.7
9.272727 1.8
9.381818 2.2
9.490909 2.7
9.6 3.1
9.709091 3.5
9.818182 3.7
9.927273 3.5
10.036364 3.3
10.145455 3.1
10.254545 2.8
10.363636 2.7
10.472727 2.3
10.581818 1.8
10.690909 1.6
10.8 1.1
10.909091 0.8
11.018182 0.4
11.127273 0
