"Energy (MeV)" Frequency
-0.005 0
0.005 0.416629
0.015 0.0315598
0.025 0.0200707
0.035 0.0130803
0.045 0.0134187
0.055 0.0101116
0.065 0.0102337
0.075 0.0090996
0.085 0.00520247
0.095 0.00652746
0.105 0.00762138
0.115 0.00748126
0.125 0.00786147
0.135 0.00722724
0.145 0.00555891
0.155 0.00526064
0.165 0.00524507
0.175 0.00399956
0.185 0.00307936
0.195 0.00297611
0.205 0.00292367
0.215 0.00299824
0.225 0.00315884
0.235 0.00323341
0.245 0.00318425
0.255 0.00314819
0.265 0.00334485
0.275 0.00331371
0.285 0.00294252
0.295 0.00286304
0.305 0.0030007
0.315 0.00285238
0.325 0.00274422
0.335 0.00273603
0.345 0.00257706
0.355 0.00228535
0.365 0.00188711
0.375 0.00183467
0.385 0.00177485
0.395 0.00181582
0.405 0.00155689
0.415 0.00137744
0.425 0.0011439
0.435 0.0010341
0.445 0.00125125
0.455 0.00169619
0.465 0.00206738
0.475 0.00238286
0.485 0.0028278
0.495 0.00287041
0.505 0.00295317
0.515 0.0029966
0.525 0.00290892
0.535 0.00298103
0.545 0.00316868
0.555 0.00312689
0.565 0.00229682
0.575 0.00261967
0.585 0.0030597
0.595 0.00295563
0.605 0.00306789
0.615 0.00296546
0.625 0.0029712
0.635 0.00298759
0.645 0.00271636
0.655 0.00268604
0.665 0.00280404
0.675 0.00273603
0.685 0.00258935
0.695 0.0026549
0.705 0.00265327
0.715 0.00262049
0.725 0.0024902
0.735 0.00248856
0.745 0.00244186
0.755 0.0024943
0.765 0.00251396
0.775 0.00234271
0.785 0.00224684
0.795 0.00225913
0.805 0.00190842
0.815 0.00172815
0.825 0.00158885
0.835 0.00171422
0.845 0.00163146
0.855 0.00159294
0.865 0.00149543
0.875 0.00142496
0.885 0.00137826
0.895 0.00138645
0.905 0.00126845
0.915 0.000971826
0.925 0.00104148
0.935 0.000945605
0.945 0.000903815
0.955 0.000839081
0.965 0.000778444
0.975 0.000726821
0.985 0.000662907
0.995 0.00068585
1.005 0.000648977
1.015 0.000690767
1.025 0.000776805
1.035 0.00085465
1.045 0.000855469
1.055 0.000987395
1.065 0.00103984
1.075 0.0011144
1.085 0.00121191
1.095 0.00122584
1.105 0.00132745
1.115 0.00139219
1.125 0.0013717
1.135 0.00144217
1.145 0.00145692
1.155 0.00152329
1.165 0.0014561
1.175 0.00152985
1.185 0.00162408
1.195 0.00164047
1.205 0.00132745
1.215 0.0014307
1.225 0.00146511
1.235 0.00149625
1.245 0.00158885
1.255 0.00158393
1.265 0.00126436
1.275 0.00128484
1.285 0.00117422
1.295 0.000963632
1.305 0.000843178
1.315 0.000729279
1.325 0.000879232
1.335 0.0010087
1.345 0.00115374
1.355 0.00127829
1.365 0.00136105
1.375 0.00146266
1.385 0.00142005
1.395 0.001511
1.405 0.00132663
1.415 0.00127747
1.425 0.00142332
1.435 0.00131926
1.445 0.00132991
1.455 0.00132909
